Geneid	cond_1v2_log2FC	cond_1v2_Padj	cond_1v2_Sig	cond_1v3_log2FC	cond_1v3_Padj	cond_1v3_Sig	cond_2v3_log2FC	cond_2v3_Padj	cond_2v3_Sig
EGFP	1.7   	6.9e-16	TRUE	1.7   	7.8e-16	TRUE	-0.011	1     	FALSE
Glyma.01G000100.Wm82.a4.v1	-0.31 	1     	FALSE	-0.39 	0.77  	FALSE	-0.086	1     	FALSE
Glyma.01G000137.Wm82.a4.v1	-0.016	1     	FALSE	-0.12 	0.99  	FALSE	-0.1  	0.99  	FALSE
Glyma.01G000174.Wm82.a4.v1	-0.26 	1     	FALSE	-0.019	1     	FALSE	0.24  	0.99  	FALSE
Glyma.01G000211.Wm82.a4.v1	-0.31 	1     	FALSE	-0.16 	0.98  	FALSE	0.15  	0.99  	FALSE
Glyma.01G000285.Wm82.a4.v1	0.085 	1     	FALSE	0.13  	0.98  	FALSE	0.049 	1     	FALSE
Glyma.01G000322.Wm82.a4.v1	-0.091	1     	FALSE	0.072 	NA    	NA	0.16  	0.99  	FALSE
Glyma.01G000359.Wm82.a4.v1	-0.086	1     	FALSE	-0.019	1     	FALSE	0.067 	1     	FALSE
Glyma.01G000400.Wm82.a4.v1	-0.0038	1     	FALSE	-0.026	0.99  	FALSE	-0.022	1     	FALSE
Glyma.01G000600.Wm82.a4.v1	0.098 	1     	FALSE	0.11  	0.99  	FALSE	0.012 	1     	FALSE
Glyma.01G000900.Wm82.a4.v1	0.018 	1     	FALSE	0.17  	0.97  	FALSE	0.16  	0.99  	FALSE
Glyma.01G001000.Wm82.a4.v1	0.0026	1     	FALSE	-0.027	0.99  	FALSE	-0.03 	1     	FALSE
Glyma.01G001100.Wm82.a4.v1	0.11  	1     	FALSE	0.19  	0.97  	FALSE	0.078 	0.99  	FALSE
Glyma.01G001200.Wm82.a4.v1	-0.087	1     	FALSE	-0.12 	0.99  	FALSE	-0.031	1     	FALSE
Glyma.01G001300.Wm82.a4.v1	0.12  	1     	FALSE	0.18  	0.96  	FALSE	0.059 	0.99  	FALSE
Glyma.01G001450.Wm82.a4.v1	0.047 	NA    	NA	0.021 	NA    	NA	-0.026	NA    	NA
Glyma.01G001500.Wm82.a4.v1	-0.23 	1     	FALSE	-0.023	1     	FALSE	0.2   	0.99  	FALSE
Glyma.01G001600.Wm82.a4.v1	0.01  	1     	FALSE	0.032 	0.99  	FALSE	0.022 	1     	FALSE
Glyma.01G001700.Wm82.a4.v1	-0.095	1     	FALSE	-0.027	0.99  	FALSE	0.068 	1     	FALSE
Glyma.01G001800.Wm82.a4.v1	0.14  	1     	FALSE	0.077 	NA    	NA	-0.06 	0.99  	FALSE
Glyma.01G001900.Wm82.a4.v1	-0.27 	0.97  	FALSE	-0.092	NA    	NA	0.17  	0.99  	FALSE
Glyma.01G002000.Wm82.a4.v1	0.056 	1     	FALSE	-0.19 	0.98  	FALSE	-0.24 	0.99  	FALSE
Glyma.01G002100.Wm82.a4.v1	-0.011	1     	FALSE	0.02  	1     	FALSE	0.03  	1     	FALSE
Glyma.01G002200.Wm82.a4.v1	-0.21 	1     	FALSE	-0.21 	0.96  	FALSE	-0.0023	1     	FALSE
Glyma.01G002300.Wm82.a4.v1	-0.011	NA    	NA	0     	NA    	NA	0.0073	NA    	NA
Glyma.01G002400.Wm82.a4.v1	-0.11 	1     	FALSE	-0.13 	0.98  	FALSE	-0.014	1     	FALSE
Glyma.01G002501.Wm82.a4.v1	0.027 	NA    	NA	0.039 	NA    	NA	0.012 	NA    	NA
Glyma.01G002600.Wm82.a4.v1	0.42  	0.54  	FALSE	0.43  	0.44  	FALSE	0.0015	1     	FALSE
Glyma.01G002700.Wm82.a4.v1	-0.18 	1     	FALSE	-0.15 	0.98  	FALSE	0.032 	1     	FALSE
Glyma.01G002800.Wm82.a4.v1	-0.011	NA    	NA	0     	NA    	NA	0.0073	NA    	NA
Glyma.01G002902.Wm82.a4.v1	-0.13 	1     	FALSE	-0.34 	0.77  	FALSE	-0.21 	0.99  	FALSE
Glyma.01G003000.Wm82.a4.v1	-0.11 	1     	FALSE	-0.12 	0.99  	FALSE	-0.0026	1     	FALSE
Glyma.01G003100.Wm82.a4.v1	0.01  	1     	FALSE	-0.16 	0.98  	FALSE	-0.17 	0.99  	FALSE
Glyma.01G003200.Wm82.a4.v1	-0.063	1     	FALSE	-0.14 	0.98  	FALSE	-0.074	0.99  	FALSE
Glyma.01G003300.Wm82.a4.v1	-0.011	NA    	NA	0     	NA    	NA	0.0073	NA    	NA
Glyma.01G003400.Wm82.a4.v1	0.16  	1     	FALSE	0.19  	0.98  	FALSE	0.025 	1     	FALSE
Glyma.01G003450.Wm82.a4.v1	-0.024	1     	FALSE	0.03  	0.99  	FALSE	0.054 	1     	FALSE
Glyma.01G003500.Wm82.a4.v1	0.016 	NA    	NA	-0.015	NA    	NA	-0.031	NA    	NA
Glyma.01G003600.Wm82.a4.v1	0.051 	1     	FALSE	0.024 	1     	FALSE	-0.027	1     	FALSE
Glyma.01G003700.Wm82.a4.v1	0.13  	1     	FALSE	0.0099	1     	FALSE	-0.12 	0.99  	FALSE
Glyma.01G003800.Wm82.a4.v1	0.0065	1     	FALSE	-0.0056	1     	FALSE	-0.012	1     	FALSE
Glyma.01G003900.Wm82.a4.v1	0.004 	1     	FALSE	-0.11 	0.99  	FALSE	-0.12 	0.99  	FALSE
Glyma.01G004000.Wm82.a4.v1	-0.087	1     	FALSE	-0.071	0.99  	FALSE	0.016 	1     	FALSE
Glyma.01G004100.Wm82.a4.v1	-0.067	1     	FALSE	0.034 	0.99  	FALSE	0.1   	0.99  	FALSE
Glyma.01G004200.Wm82.a4.v1	-0.14 	1     	FALSE	-0.26 	0.93  	FALSE	-0.12 	0.99  	FALSE
Glyma.01G004300.Wm82.a4.v1	0.074 	1     	FALSE	-0.22 	0.97  	FALSE	-0.29 	0.99  	FALSE
Glyma.01G004500.Wm82.a4.v1	-0.021	1     	FALSE	-0.12 	0.98  	FALSE	-0.1  	0.99  	FALSE
Glyma.01G004600.Wm82.a4.v1	-0.12 	1     	FALSE	-0.23 	0.96  	FALSE	-0.12 	0.99  	FALSE
Glyma.01G004700.Wm82.a4.v1	0.17  	1     	FALSE	-0.098	0.99  	FALSE	-0.27 	0.99  	FALSE
Glyma.01G004800.Wm82.a4.v1	0.41  	0.56  	FALSE	0.63  	0.045 	TRUE	0.21  	0.99  	FALSE
Glyma.01G005000.Wm82.a4.v1	-0.16 	1     	FALSE	-0.06 	0.99  	FALSE	0.1   	0.99  	FALSE
Glyma.01G005100.Wm82.a4.v1	-0.24 	1     	FALSE	0.078 	0.98  	FALSE	0.32  	0.99  	FALSE
Glyma.01G005200.Wm82.a4.v1	-0.14 	1     	FALSE	-0.11 	0.99  	FALSE	0.032 	1     	FALSE
Glyma.01G005300.Wm82.a4.v1	0.023 	1     	FALSE	-0.13 	0.98  	FALSE	-0.15 	0.99  	FALSE
Glyma.01G005400.Wm82.a4.v1	-0.27 	1     	FALSE	-0.13 	0.99  	FALSE	0.13  	0.99  	FALSE
Glyma.01G005500.Wm82.a4.v1	0.014 	1     	FALSE	0.26  	0.96  	FALSE	0.24  	0.99  	FALSE
Glyma.01G005600.Wm82.a4.v1	-0.019	1     	FALSE	0.1   	0.99  	FALSE	0.12  	0.99  	FALSE
Glyma.01G005800.Wm82.a4.v1	-0.14 	1     	FALSE	-0.22 	0.97  	FALSE	-0.074	1     	FALSE
Glyma.01G005900.Wm82.a4.v1	0.018 	NA    	NA	0.015 	NA    	NA	0     	NA    	NA
Glyma.01G006000.Wm82.a4.v1	-0.43 	0.62  	FALSE	-0.35 	0.73  	FALSE	0.082 	1     	FALSE
Glyma.01G006100.Wm82.a4.v1	-0.21 	1     	FALSE	-0.038	0.99  	FALSE	0.17  	0.99  	FALSE
Glyma.01G006200.Wm82.a4.v1	-0.022	1     	FALSE	-0.29 	0.94  	FALSE	-0.27 	0.99  	FALSE
Glyma.01G006400.Wm82.a4.v1	0.14  	1     	FALSE	0.1   	0.99  	FALSE	-0.043	1     	FALSE
Glyma.01G006500.Wm82.a4.v1	-0.29 	1     	FALSE	-0.19 	0.98  	FALSE	0.1   	0.99  	FALSE
Glyma.01G006600.Wm82.a4.v1	-0.09 	1     	FALSE	0.28  	0.93  	FALSE	0.37  	0.99  	FALSE
Glyma.01G006700.Wm82.a4.v1	0.019 	1     	FALSE	0.16  	0.98  	FALSE	0.15  	0.99  	FALSE
Glyma.01G006800.Wm82.a4.v1	0.21  	1     	FALSE	0.15  	0.98  	FALSE	-0.056	1     	FALSE
Glyma.01G006900.Wm82.a4.v1	-0.061	1     	FALSE	-0.022	0.99  	FALSE	0.039 	1     	FALSE
Glyma.01G007000.Wm82.a4.v1	-0.0048	1     	FALSE	0.18  	0.98  	FALSE	0.19  	0.99  	FALSE
Glyma.01G007100.Wm82.a4.v1	0.12  	1     	FALSE	0.33  	0.88  	FALSE	0.2   	0.99  	FALSE
Glyma.01G007200.Wm82.a4.v1	0.18  	1     	FALSE	0.14  	0.97  	FALSE	-0.034	1     	FALSE
Glyma.01G007300.Wm82.a4.v1	0.22  	0.89  	FALSE	0.36  	0.13  	FALSE	0.14  	0.99  	FALSE
