Geneid	NPYCT	NPYCU	NSNCH	NPYCW	NPYCX	NPYCZ	NPYCY	NPYGA	NPYGB
EGFP	15692.14	15749.01	20082.37	3565.16	2257.90	4646.30	3807.33	3192.78	3020.36
Glyma.01G000100.Wm82.a4.v1	5.70	2.48	3.09	5.70	5.67	5.84	6.97	5.10	6.00
Glyma.01G000137.Wm82.a4.v1	29.55	40.80	19.69	38.97	21.05	33.08	56.30	29.46	17.91
Glyma.01G000174.Wm82.a4.v1	3.65	6.45	2.87	6.93	5.85	6.41	6.25	5.00	1.34
Glyma.01G000211.Wm82.a4.v1	0.80	0.73	0.65	1.15	1.38	0.98	1.72	0.76	0.29
Glyma.01G000248.Wm82.a4.v1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Glyma.01G000285.Wm82.a4.v1	0.86	1.13	0.67	1.00	0.92	0.23	1.31	0.30	0.12
Glyma.01G000322.Wm82.a4.v1	0.03	0.17	0.08	0.12	0.19	0.13	0.10	0.00	0.05
Glyma.01G000359.Wm82.a4.v1	4.79	4.75	4.99	4.93	6.72	5.79	2.74	4.67	7.26
Glyma.01G000400.Wm82.a4.v1	4.84	5.97	5.19	5.58	6.64	4.37	6.07	5.09	4.72
Glyma.01G000600.Wm82.a4.v1	2.18	2.61	2.13	2.39	2.15	1.99	2.92	2.04	1.18
Glyma.01G000900.Wm82.a4.v1	1.69	1.62	1.44	1.66	1.79	1.40	1.69	1.48	0.85
Glyma.01G001000.Wm82.a4.v1	13.87	14.44	12.97	14.11	14.24	14.13	14.63	10.48	15.58
Glyma.01G001100.Wm82.a4.v1	2.47	2.13	2.03	2.27	1.86	2.09	2.31	1.47	1.72
Glyma.01G001150.Wm82.a4.v1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Glyma.01G001200.Wm82.a4.v1	4.09	4.56	3.69	5.75	4.41	3.69	5.86	4.79	2.78
Glyma.01G001300.Wm82.a4.v1	22.48	19.71	17.67	19.51	19.93	16.68	18.22	19.23	12.95
Glyma.01G001350.Wm82.a4.v1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Glyma.01G001450.Wm82.a4.v1	0.63	1.82	0.00	0.00	0.68	0.00	0.72	0.66	0.00
Glyma.01G001500.Wm82.a4.v1	3.35	3.05	2.21	4.13	4.53	2.93	5.09	1.43	2.28
Glyma.01G001600.Wm82.a4.v1	4.72	4.54	3.40	4.53	5.05	3.33	4.32	4.08	3.47
Glyma.01G001700.Wm82.a4.v1	4.45	4.96	2.85	4.82	3.77	5.02	4.26	4.22	3.53
Glyma.01G001800.Wm82.a4.v1	0.18	0.25	0.09	0.06	0.00	0.14	0.15	0.09	0.07
Glyma.01G001900.Wm82.a4.v1	0.03	0.00	0.06	0.12	0.24	0.17	0.11	0.07	0.05
Glyma.01G002000.Wm82.a4.v1	0.40	0.43	0.33	0.63	0.32	0.05	0.80	0.31	0.80
Glyma.01G002100.Wm82.a4.v1	14.84	15.85	13.85	18.36	15.73	12.51	20.14	14.29	8.89
Glyma.01G002200.Wm82.a4.v1	6.12	7.14	5.21	8.33	7.33	6.88	7.12	7.21	6.80
Glyma.01G002250.Wm82.a4.v1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Glyma.01G002300.Wm82.a4.v1	0.00	0.00	0.00	0.00	0.00	0.03	0.00	0.00	0.00
Glyma.01G002400.Wm82.a4.v1	35.43	35.38	34.70	45.95	40.15	34.78	31.04	39.62	41.90
Glyma.01G002501.Wm82.a4.v1	0.00	0.07	0.02	0.03	0.00	0.00	0.00	0.00	0.00
